Id,Date,Time,TotalIntensity,AverageIntensity
1503960366,5/5/2016,01,6,0.1
1503960366,5/5/2016,02,2,0.033333
1503960366,5/5/2016,03,0,0
1503960366,5/5/2016,04,4,0.066667
1503960366,5/5/2016,05,0,0
1503960366,5/5/2016,06,1,0.016667
1503960366,5/5/2016,07,3,0.05
1503960366,5/5/2016,08,10,0.166667
1503960366,5/5/2016,09,26,0.433333
1503960366,5/5/2016,10,15,0.25
1503960366,5/5/2016,11,4,0.066667
1503960366,5/5/2016,12,13,0.216667
1503960366,5/5/2016,13,21,0.35
1503960366,5/5/2016,14,12,0.2
1503960366,5/5/2016,15,14,0.233333
1503960366,5/5/2016,16,21,0.35
1503960366,5/5/2016,17,70,1.166667
1503960366,5/5/2016,18,30,0.5
1503960366,5/5/2016,19,20,0.333333
1503960366,5/5/2016,20,19,0.316667
1503960366,5/5/2016,21,113,1.883333
1503960366,5/5/2016,22,17,0.283333
1503960366,5/5/2016,23,6,0.1
1503960366,5/6/2016,00,12,0.2
1503960366,5/6/2016,01,1,0.016667
1503960366,5/6/2016,02,7,0.116667
1503960366,5/6/2016,03,0,0
1503960366,5/6/2016,04,1,0.016667
1503960366,5/6/2016,05,0,0
1503960366,5/6/2016,06,0,0
1503960366,5/6/2016,07,3,0.05
1503960366,5/6/2016,08,9,0.15
1503960366,5/6/2016,09,29,0.483333
1503960366,5/6/2016,10,20,0.333333
1503960366,5/6/2016,11,6,0.1
1503960366,5/6/2016,12,13,0.216667
1503960366,5/6/2016,13,10,0.166667
1503960366,5/6/2016,14,15,0.25
1503960366,5/6/2016,15,27,0.45
1503960366,5/6/2016,16,17,0.283333
1503960366,5/6/2016,17,13,0.216667
1503960366,5/6/2016,18,28,0.466667
1503960366,5/6/2016,19,55,0.916667
1503960366,5/6/2016,20,16,0.266667
1503960366,5/6/2016,21,20,0.333333
1503960366,5/6/2016,22,19,0.316667
1503960366,5/6/2016,23,52,0.866667
1503960366,5/7/2016,00,9,0.15
1503960366,5/7/2016,01,0,0
1503960366,5/7/2016,02,2,0.033333
1503960366,5/7/2016,03,0,0
1503960366,5/7/2016,04,0,0
1503960366,5/7/2016,05,0,0
1503960366,5/7/2016,06,0,0
1503960366,5/7/2016,07,0,0
1503960366,5/7/2016,08,9,0.15
1503960366,5/7/2016,09,7,0.116667
1503960366,5/7/2016,10,46,0.766667
1503960366,5/7/2016,11,59,0.983333
1503960366,5/7/2016,12,6,0.1
1503960366,5/7/2016,13,2,0.033333
1503960366,5/7/2016,14,9,0.15
1503960366,5/7/2016,15,4,0.066667
1503960366,5/7/2016,16,10,0.166667
1503960366,5/7/2016,17,6,0.1
1503960366,5/7/2016,18,13,0.216667
1503960366,5/7/2016,19,21,0.35
1503960366,5/7/2016,20,3,0.05
1503960366,5/7/2016,21,61,1.016667
1503960366,5/7/2016,22,108,1.8
1503960366,5/7/2016,23,3,0.05
1503960366,5/8/2016,00,8,0.133333
1503960366,5/8/2016,01,0,0
1503960366,5/8/2016,02,0,0
1503960366,5/8/2016,03,0,0
1503960366,5/8/2016,04,1,0.016667
1503960366,5/8/2016,05,0,0
1503960366,5/8/2016,06,1,0.016667
1503960366,5/8/2016,07,0,0
1503960366,5/8/2016,08,0,0
1503960366,5/8/2016,09,0,0
1503960366,5/8/2016,10,0,0
1503960366,5/8/2016,11,0,0
1503960366,5/8/2016,12,22,0.366667
1503960366,5/8/2016,13,8,0.133333
1503960366,5/8/2016,14,30,0.5
1503960366,5/8/2016,15,10,0.166667
1503960366,5/8/2016,16,5,0.083333
1503960366,5/8/2016,17,14,0.233333
1503960366,5/8/2016,18,115,1.916667
1503960366,5/8/2016,19,36,0.6
1503960366,5/8/2016,20,28,0.466667
1503960366,5/8/2016,21,33,0.55
1503960366,5/8/2016,22,29,0.483333
1503960366,5/8/2016,23,11,0.183333
1503960366,5/9/2016,00,9,0.15
1503960366,5/9/2016,01,0,0
1503960366,5/9/2016,02,0,0
1503960366,5/9/2016,03,0,0
1503960366,5/9/2016,04,0,0
1503960366,5/9/2016,05,1,0.016667
1503960366,5/9/2016,06,22,0.366667
1503960366,5/9/2016,07,6,0.1
1503960366,5/9/2016,08,3,0.05
1503960366,5/9/2016,09,3,0.05
1503960366,5/9/2016,10,10,0.166667
1503960366,5/9/2016,11,6,0.1
1503960366,5/9/2016,12,12,0.2
1503960366,5/9/2016,13,1,0.016667
1503960366,5/9/2016,14,0,0
1503960366,5/9/2016,15,1,0.016667
1503960366,5/9/2016,16,75,1.25
1503960366,5/9/2016,17,37,0.616667
1503960366,5/9/2016,18,25,0.416667
1503960366,5/9/2016,19,39,0.65
1503960366,5/9/2016,20,43,0.716667
1503960366,5/9/2016,21,73,1.216667
1503960366,5/9/2016,22,0,0
1503960366,5/9/2016,23,0,0
1503960366,5/10/2016,00,0,0
1503960366,5/10/2016,01,6,0.1
1503960366,5/10/2016,02,0,0
1503960366,5/10/2016,03,0,0
1503960366,5/10/2016,04,0,0
1503960366,5/10/2016,05,0,0
1503960366,5/10/2016,06,0,0
1503960366,5/10/2016,07,4,0.066667
1503960366,5/10/2016,08,11,0.183333
1503960366,5/10/2016,09,24,0.4
1503960366,5/10/2016,10,16,0.266667
1503960366,5/10/2016,11,35,0.583333
1503960366,5/10/2016,12,6,0.1
1503960366,5/10/2016,13,14,0.233333
1503960366,5/10/2016,14,8,0.133333
1503960366,5/10/2016,15,36,0.6
1503960366,5/10/2016,16,22,0.366667
1503960366,5/10/2016,17,17,0.283333
1503960366,5/10/2016,18,69,1.15
1503960366,5/10/2016,19,51,0.85
1503960366,5/10/2016,20,73,1.216667
